Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+
2009,21,DET,QB,9,10,10,2-8-0,377,82,83,74,75,74,92,66,100,72
2010,22,DET,,9,3,3,1-2-0,96,74,79,97,100,96,123,126,117,108
2011,23,DET,QB,9,16,16,10-6-0,663,110,112,114,115,110,121,107,109,116
2012,24,DET,QB,9,16,16,4-12-0,727,94,101,95,99,97,83,107,121,93
2013,25,DET,QB,9,16,16,7-9-0,634,105,112,101,106,88,102,94,123,97
2014*,26,DET,QB,9,16,16,11-5-0,602,97,97,99,99,92,90,110,95,96
2015,27,DET,QB,9,16,16,7-9-0,592,100,98,104,103,117,112,103,93,111
2016,28,DET,QB,9,16,16,9-7-0,594,103,104,105,106,110,96,112,102,106
2017,29,DET,QB,9,16,16,9-7-0,565,114,109,115,111,108,108,110,90,113
2018,30,DET,QB,9,16,16,6-10-0,555,92,93,95,96,110,92,106,99,100
2019,31,DET,QB,9,8,8,3-4-1,291,126,123,126,124,99,119,110,105,118
2020,32,DET,QB,9,16,16,5-11-0,528,110,108,109,108,99,103,106,96,106
Career,Career,,,,165,165,74-90-1,6224,,,,,,,,,
