Rank,Team,Adj. Line  Yards,RB  Yards,Power  Success,Power  Rank,Stuffed,Stuffed  Rank,2nd Level  Yards,2nd Level  Rank,Open Field  Yards,Open Field  Rank,Team,Rank,Sacks,Adjusted  Sack Rate
1,PIT,1.93,2.55,100%,28,34%,2,1.0,9,0.42,16,IND,1,7,13.6%
2,NYJ,2.16,5.0,67%,18,38%,1,0.98,8,2.73,32,WAS,2,11,13.5%
3,NO,3.26,3.41,60%,15,30%,3,1.07,11,0.57,20,GB,3,6,11.5%
4,CLE,3.34,2.97,43%,4,23%,5,0.79,2,0.13,5,PIT,4,10,11.1%
5,TB,3.37,2.55,50%,7,21%,7,0.53,1,0.0,1,ARI,5,7,9.8%
6,SEA,3.39,2.88,50%,7,22%,6,0.81,4,0.16,7,TB,6,6,9.1%
7,JAX,3.76,3.59,0%,1,20%,8,1.16,15,0.37,15,NO,7,6,9.1%
8,PHI,3.80,3.71,56%,12,24%,4,0.8,3,0.91,22,KC,8,6,8.9%
9,SF,3.82,3.56,60%,15,19%,9,1.0,9,0.29,10,NYG,9,6,8.9%
10,WAS,3.85,3.72,80%,25,13%,23,0.98,7,0.22,8,HOU,10,5,8.5%
11,LAC,3.88,3.97,100%,28,18%,12,1.09,12,0.44,17,NYJ,11,6,8.0%
12,CHI,4.03,4.29,50%,7,18%,10,1.16,14,0.95,24,BAL,12,6,7.7%
13,NYG,4.11,4.64,75%,23,15%,16,1.21,18,1.04,25,BUF,13,6,7.5%
14,ATL,4.26,3.45,63%,17,18%,14,1.15,13,0.05,3,PHI,14,4,6.5%
15,DEN,4.35,4.54,50%,7,16%,15,0.9,6,1.06,26,CHI,15,5,6.1%
16,IND,4.36,4.18,100%,28,18%,12,1.41,28,0.29,11,MIA,16,3,5.9%
17,BAL,4.42,4.89,0%,1,14%,20,1.37,24,0.91,23,CLE,17,5,5.7%
18,DAL,4.49,3.44,70%,20,13%,24,0.83,5,0.05,2,CIN,18,2,5.6%
19,NE,4.50,3.91,43%,4,15%,16,1.17,16,0.06,4,NE,19,3,5.5%
20,CAR,4.54,4.96,100%,28,14%,20,1.24,19,1.27,28,SF,20,3,5.5%
21,BUF,4.59,4.03,71%,21,12%,27,1.33,21,0.15,6,ATL,21,4,5.1%
22,TEN,4.73,5.15,57%,13,15%,19,1.34,22,1.29,29,LAC,22,4,4.9%
23,ARI,4.76,4.76,67%,18,18%,11,1.87,31,0.33,12,MIN,23,2,4.6%
24,KC,4.88,4.51,75%,23,9%,29,1.35,23,0.35,14,SEA,24,3,4.4%
25,MIA,5.07,4.82,100%,28,7%,31,1.39,25,0.5,18,DAL,25,2,4.3%
26,GB,5.11,4.87,86%,26,13%,22,1.39,27,0.74,21,LAR,26,3,4.0%
27,MIN,5.13,4.44,57%,13,10%,28,1.21,17,0.33,12,JAX,27,2,3.1%
28,CIN,5.14,5.51,30%,3,12%,25,1.6,30,1.22,27,DET,28,2,3.0%
29,LV,5.19,4.66,71%,21,12%,26,1.39,26,0.54,19,TEN,29,2,2.9%
30,HOU,5.26,6.28,46%,6,15%,18,1.58,29,1.91,31,DEN,30,2,2.7%
31,LAR,5.38,4.58,86%,26,6%,32,1.27,20,0.23,9,CAR,31,0,1.8%
32,DET,5.81,6.92,50%,7,8%,30,1.96,32,1.8,30,LV,32,1,1.7%
x,NFL,x,4.32,61%,x,17%,x,1.01,x,0.57,x,NFL,x,4,6.5%
