team,age
ari,27.72
atl,26.56888888888889
bal,28.439999999999998
buf,25.660720921590485
car,26.22666666666667
chi,27.702222222222222
cin,27.137345679012345
cle,25.9891975308642
dal,28.396521739130435
den,26.061501300631733
det,28.320000000000004
gb,26.48888888888889
hou,27.616452991452988
ind,25.580128205128204
jax,25.354700854700855
kc,26.057777777777776
lac,25.67735042735043
lar,26.010198604401506
mia,24.88568376068376
min,26.788461538461537
ne,27.102222222222224
no,27.47888888888889
nyg,27.027777777777775
nyj,25.984347826086957
lv,25.686965811965816
phi,26.303418803418804
pit,27.84888888888889
sf,28.294017094017097
sea,26.541666666666668
tb,27.33974358974359
ten,28.701923076923077
wsh,27.262222222222224
